,judul-jurnal,abstrak-jurnal,kategori
196,sistem aman lintas kereta api mengunakan sensor infrared bas mikrokontroller arduino uno,sistem tuju rancang implementasi rangkai fungsi aman ikut teknologi pasang aman lintas kereta api module infrared deteksi frekuensi input output mikrokontroler arduino menggontrol mikrokontroler arduino bahasa pemerograman arduino sofware arduino kerja alat sensor infrared inputan gera kereta lintas sensor infarared deteksi gera picu indikator led kuning nyala sensor ultrasonic nilai inputan gera kereta lintas picu led indiator merah salah ikut suara buzzer isyarat otomatis system mikrokontroller eksekusi motor servo gerak tutup palang pintu lintas kereta api,hardware programming
197,wireless smart home system internet things,aktivitas rumah rutinitas tuntut alokasi aktivitas ruang kembang teknologi ubah hidup ubah salalu nilai mudah kerja salah kembang teknologi sistem rumah pintar smart home system terap hidup seharihari sistem rumah pintar smart home system alat otomatis dasar inputan mana kali inputan proses web program tanam arduino wifi media komunikasi kirim data masuk aplikasi web fungsi alat kendali alat rumah jarak kontrol alat rumah manual efektif tuju ancang sistem rumah pintar alat bantu orang aktivitas rumah kendali alat rumah menggunakansmartphonesecara otomatis aplikasi web os android menerapkaninternet things internet thingsiot kembang cepat iring kembang perangkatsmartphonedan sensor cerdas istilah iot acu konektivitas jaring mampu cerdas tukar konsumsi data campur tangan manusia tulis kenal desain sistemsmart homeiot dasar aplikasi web aplikasi handphone os android terap sistem prototipe bas arduino,hardware programming
198,rancang bangun sistem akses kontrol masuk rumah selenoid doorlock sensor fingerprint bas mikrokotroler atmega,rancang bangun sistem akses kontrol masuk rumah solenoid doorlock sensor fingerprint bas atmega piranti aman pintu rumah curi tindak tindak rugi milik rumah metode bangun sistem kontrol masuk rumah solenoid doorlock sensor fingerprint bas atmega metode metode kumpul data metode ancang alat metode uji alat metode prototipe sistem alat unit mikrokontroler atmega kontrol utama sistem mikrokontroler jenis tanam papan pcb tiru arduino uno ancang alat perangkat keras perangkat lunak perangkat keras liput catu daya modul fingerprint zfm lcd liquid crystal display solenoid doorlock usb serial ftdi buzzer driver relay resistor kapasitor dioda perangkat lunak kembang bahasa arduino ide tulis listing program program fingerprint sfg proses baca sidik jari mikrokontroller,hardware programming
199,sistem semat deteksi slot parkir,butuh parkir kendara dewasa alami tingkat segi kapasitas teknologi dipungkiri butuh lahan parkir hidup seharihari tuju teliti sedia informasi sedia slot parkir yangreal timekepada guna lahan parkir penggunaansmart parking systemsps metode sistem bilangancounter downdengan guna sensorldrsebagaiinput pemproses menggunakanarduinodan outputnya menggunakanseven segmenthasil capai sedia sistem informasi slot parkir pakai lahan parkir,hardware programming
200,rancang bangun usir hama babi arduino sensor gerak,usir hama babi pasang lahan tani bantu pentane oleh hasil panen maksimal hasil maksimal alat leta strategis masuk hama babi paper deskripsi rancang sistem usir hama babi bantu sensor gerak basis mikrokontroler arduino uno gera deteksi gera gera curiga masuk dalam lahan tani sistem rancang kendali sensor output speaker motor dc gera orangorangan sawah otomatis,hardware programming
201,prototype data logging monitoring system energy convension wp polycrystalline solar panel based arduino uno,vlan salah teknologi komputer butuh inidikarenakan vlan bagi jaring perangkat switch bagianbagian keciljaringan cisco catalyst perangkat switch,hardware programming
202,guna iot telemetri efisiensi daya hybrid power system,naik tarif listrik perintah beban rakyat berat hidup hari lepas energy listrik alat jaman butuh energy listrik sumber utama ubah bagai energi masalah kembang teknologi panel surya bantu masyarakat hemat biaya keluar bayar tagih listrik guna panel surya maksimal sumber listrik utama suplai energy listrik bebanrumah bantu perangkat inverter nama grid tie inverter grid tie inverter sinkron sumber pln sumber listrik cadang sumber listrik pln otomatis suplai energy listrik panel surya penuh butuh beban energy listrik hasil grid tie dimonitoring lalu android keluar arus pln arus grid tie daya grid tie hasil sistem kontrol peneltian solusi harga ekonomis,hardware programming
203,rancang bangun prototype robot lengan flex sensor accelerometer sensor lab mikrokontroler stmik musirawas,kembang teknologi dunia robotika pesat bawa dunia zaman mana aspek kerja ganti robot robot pilih utama mengurangicostpengeluaran usaha hasil kerja robot presisi detail kerja singkat banding tenaga manusia kombinasi manusia robot solusi masalah khusus yagn bias robot teliti bangun prototype robot lengan kendali flex sensor accelerometer sensor gerak lengan smartphone bluetooth kendali arah laju robot kontrol manusia fleksibel selesai kerja mana sulit andal robot manusia kendali robot pindah barang tentu titik pindah pengedalian flex sensor accelerometer mudah kendali lengan robot presisi terap,hardware programming
204,ancang implementasi mapping system navigasi roner robot cleaner,salah aplikasi domestik rumah tangga robot mudah kerja manusia robot bersih lantai roner robot cleaner robot bersih lantai ukur robot cm otomatis gerak bersih lantai algoritma metode atur guna algoritma gera robot manfaat data sensor deteksi benda benda robot algoritma bentuk gera bentuk sistem mapping sistem mapping bantu sensor ultrasonik lidar light detection ranging bantu gera robot sesuai jalur robot deteksi halang halang robot gerak jauh halang kunci sensor ultrasonik lidar light detection ranging arduino ros robot operating system raspberry pi abstract robot designed help human domestic chores ie clean floor robot cm size using algorithm method user controller detection object around robot using ultasonic sensor use algorithm move robotthe mapping system created using algorithm mapping system help ultrasonic sensors lidar light detection ranging help movement robots track robot detect obstacles obstacle robot move away obstacle keywords ultrasonik censor lidar light detection ranging arduino ros robot operating system raspberry pi,hardware programming
205,implementasi sensor multimodal raspberry pi robot operating system sistem aman rumah,teliti tuju bangun sensor multimodal smm implementasi sistem aman rumah perangkat keras raspberry pi perangkat lunak robot operating system ros smm padu jenis sensor satu modul sensor sensorsensor padu teliti sensor pir sensor ping sensor dht sensor ir sensor api kamera metode hubung sensorsensor bas komunikasi node ros proses arduino uno raspberry pi ros perangkat lunak kontrol robot kontrol perangkat keras embedded system fungsi arduino uno teliti perangkat keras level baca data sensor data kirim raspberry pi proses perangkat lunak ros hasil teliti terap smm sistem aman rumah mana perangkat ingat bunyi alarm smm deteksi gera objek deteksi nyala api,hardware programming
206,internet things sistem aman ruang studi ruang server guru raharja,manusia situasi aman kondusif aman ruang fakta aman ruang bobol kosong obyek langsung jaga aman intensif aktivitas obyek masuk identifikasi batas fisik teknologi dukung low monitoring security pengaruh aktivitas organisasi ajar kembang teknologi internet media kontrol guna raspberry system aman iot guna media internet system harap system aman real time kondisi ada mudah administrator ruang kendali server memntau mana smart phone genggam system iot media email gmail capture unjung studi guru raharja media teliti guru kembang pesat tingkat proses ajar ajar dosen mahasiswa bahan ajar simpan system kelas server hasil dapat teliti informasi ruang server pantai email google pantau real time,hardware programming
207,akses kontrol ruang sensor sidik jari bas mikrokontroler atmegap,teliti bahas kabung intelligence sistem bas sensor gerak sensor sidik jari akses control dalam ruang sembarang orang akses ruang terang nyala otomatis orang akses masuk ruang metode teliti metode experimental rancang uji alat bas intelegensi sensorik sensor gerak sensor sidik jari uji detail rngkaian alat black box testing uji kesesuain alat requirement elicitation salah error alat alat butuh bangun sistem sensor sidik jari fingerprint modul zfm hubung mikrokontroler atmega olah data sensor gerak pir hcsr buka tutup pintu ruang atur lampu terang ruang nyala mati otomatis pintu buka liquid crystal display lcd tampil display interaktif guna hasil uji alat cipta intelligence sistem bas sensorik kabung sensor sidik jari sensor gerak kontrol akses ruang lampu,hardware programming
208,rancang bangun sampah pintar sensor jarak bas mikrokontroler arduino,sampah ancam serius manusia buang sampah sembarang sebab cemar lingkung kelola sampah dampak masalah lingkung masalah sampah pintar bas mikrokontroler arduino liput sensor ultrasonic hcsrsebagai deteksi jarak deteksi volume sampah servodigunakan kendali tutup sampah capacitive proximity sensordigunakan mem jenis sampah organik anorganik buzzerdan ledsebagai alarmdan tanda sampah penuh modul gsm siml vyang memberismskepada tugas sampah penuh sampah pintar milik ruang sampah organik anorganik sertamemiliki pintu masuk buang sampah tutup sampah pintar buka tutup otomatis deteksi ada manusia jarak cm sampah deteksi sampah organik servoakan gerak kiri sampahorganik deteksi sensor proximity kapasitif servoakan bergerakke kanan sampah anorganik sampah isi penuh buzzerberbunyi ledmenyala kirim smskepada tugas sampah penuh,hardware programming
209,sistem kontrol deteksi level air media tanam hidroponik bas arduino uno,tanam hidroponik media tanam solusi tani butuh lahan tanam luas tuju teliti bangun sistem deteksi level air tanam hidroponik bas arduino uno teliti level air tanam hidroponik kontrol mudah tani kontrol volume air media tanam hidroponik solusi teliti bangun sistem kontrol level air otomatis sensor level air arduino uno metode selesai media input proses output input teliti sensor level air mana level air deteksi level rendah proses teliti arduino uno pusat kontrol output sistem pompa air kontrol masuk air media tanam hidroponik hasil teliti sistem deteksi tinggi level air rendah cm tinggi level air cm level air cm level air rendah pompa isi air aktif level air pompa isi penghisap mati air capai level pompa penghisap air aktif saran kembang teliti informasi sensor level air kontrol online jaring internet,hardware programming
210,rancang bangun sistem aman rumah sensor pir passive infrared sms notifikasi,hal sehat aman aspek hidup kembang bidang teknologi rancang aman lindung aset milik tulis coba rancang sistem aman rumah bas mikrokontroler harap manfaat orang pergi rumah sistem aman rumah rancang deteksi gera rumah sensor pir bas mikrokontroler atmegau gera serta suhu ruang deteksi aktif rekam video kirim notifikasi sms nomor handphone milik rumah hasil uji oleh gera serta suhu tubuh manusia hewan sistem aktif rekam video kirim sms nomor handphone milik modem wavecom sensor pir,hardware programming
211,rancang bangun dispenser otomatis sensor ultrasonik bas mikrokontroller atmega,kembang teknologi pengaruh hidup manusia salah kembang teknologi mudah alami rasa orang contoh cipta alat dispenser dispenser alat saji air minum suhu nomal panas dingin dispenser mudah saji air minum penuh butuh tubuh orang alat diperjualbelikan pasar inovasi teknologi dispenser kembang teliti kerja efektif efisien teknologi dispenser kembang sistem otomatisasi paper tuju rancang dispenser otomatis bas mikrokontroller atmega sensor ultrasonik ping level air gelas saji ukur manfaat proses otomatisasi embedded system implementasi integrasi perangkat keras perangkat lunak dasar hasil uji dispenser otomatis bangun operasi mudah saji air minum,hardware programming
212,sistem monitor detak jantung portable sensor elektroda,elektrokardiogram ekg sinyal fisiologis hasil aktivitas listrik jantung sinyal rekam elektrokardiograf teliti sistem pantau denyut jantung sensor elektroda timah memroses aplikasi perangkat lunak tampil informasi hasil modul perangkat keras frontend modul heart rate monitor ad mikrokontroler atmega arduino mini pro elektroda alat milik dimensi bawa mana perangkat dpt pakai sistem uji fluke ps ecg simulator hasil sinyal rupa detak jantung olah ide sedia antarmuka guna beats mute bpm,hardware programming
213,rancang bangun sistem monitoring keruh air bas iot tandon air warga,dikelurahantugu rejo kec tugu semang milik tangki air dikelolah swadaya butuh air seharihari warga ksm kelompok swadaya masyarakat tirta manunggal jati tangki air milik kapasitas liter air milik pelang rumah warga gantung butuh air ksm tirta manunggal jati masalah ksm tirta manunggal jati kurang kontrol bersih tandon air kala cegah pemberitahuan warga air tandon keruh system kontrol air keruh alir rumahrumah warga mudah kontrol bersih air tandon air sistem otomatis kontrol keruh air bersih tandon air muncul ide sistem deteksi monitoring keruh air bersih tandon air otomatis sensor deteksi keruh air tsd sistem air tandon keruh pompa buang hidup keran rumahrumah warga tutup sikat bersih hidup membersihka tandon air pemberitahuan status kondisi tandon langsung terima warga perangkat android sistem fungsi air kotor tandon pantau air kotor alir rumah warga,hardware programming
214,sistem monitoring kelembaban gabah padi bas arduino,masalah pascapanen padi temu proses ering manual mana alat indra manusia alat ukur gabah kering basah milik lemah guna alat indra manusia sifat relatif butuh sistem efektif informasi kelembaban gabah padi teliti tuju sistem memonitoring kelembaban gabah padi bas arduino sensor dht soil moisture sistem rancang catu daya sistem kontrol rangkai mekanika program catu daya sumber daya jalan sistem tegang sistem kontrol rangkai elektronik fungsi olah data mikrokontroler pusat kendali rangkai mekanika fungsi atur buka tutup keluar gabah kering gabah basah program fungsi atur mikrokontroler jalan logika sistem dasar hasil pegujian oleh sistem megukur kelembaban kadar air gabah padi meminimalisir rusa beras giling,hardware programming
215,terap alat kendali kipas angin microcontroller arduino mega sensor dht bas android,kendali kipas angin ruangankelas smks pariwisata ekatama pekanbaru tali kendali cepat manual mudah kendali kipas angin ruang kelas buat alat kendali kipas angin microcontrollerarduino mega sensor dht bas android alat bagi smartphone microcontroller arduio mega sensor dht bluetooth hc modul relay ch lcd resistor step xl power supplyv led diffused push button kipas dc alat bluetooth smartphone sambung koneksi bluetooth hc bluetooth hc microcontroller proses perintah microcontroller modul relay ganti saklar fungsi aktif nonaktif kipas sesuai cepat terap alat fungsi manual otomatis hasil teliti aplikasi smartphone komunikasi arduino mega jarak meterjika halang meter halang,hardware programming
216,terap soil moisture sensor desain system siram tanam otomatis,siram lepas dalam jaga rawat tanam tanam tumbuh subur butuh air pengaruh tumbuh tanam siram lepas dalam membudidayakan tanam tanam tumbuh subur butuh air perhati dampak fatal tumbuh tanam mudah dalam pembudidayaan tanam butuh sistem kontrol padu kendali tingkat kelembaban tanah alat kontrol otomatis siram tanam tingkat kelembaban tanah tanam kontrol aplikasi soil moisture sensor dasar hasil uji system elektronik siram tanam otomatis soil moisture sensor tarik simpul uji sistem elektronik sistem elektronik fungsi komponenkomponen sesuai urut dapat hasil ujung lancip soil moisture sensor tancap wadah tanah kering tingkat kelembaban tanah water pump siram air batas kelembaban ting ujung lancip soil moisture sensor tancap wadah tanah basah batas tingkangkat kelembaban water pump henti siram air sistem elektronik sesuai rancang,hardware programming
217,eksperimental uji keruh air bas internet things sensor dfrobot sen mqtt cloud server,kualitas air faktor tunjang butuh mahluk hidup faktor perhati jernih air tingkat keruh air tentu tingkat layak air teliti pantau tingkat keruh air metode hambur cahaya suspensi partikel air sensor keruh dfrobot sen dfrobot sen deteksi ubah instensitas cahaya akibat partikelpartikel air olah mikrokontroller nodemcu esp kirim data aktual smartphone protokol mqtt uji eksperimental skala laboratorium hasil tingkat presentase ratarata simpang sensor turbidity dfrobot sen sistem monitoring keruh bas iot aplikasi smartphone uji hasil updating delay detik sample keruh air jaga maksimum ntu,hardware programming
218,implementasi home automation bas web kontrol server raspberry pi,orangorang teknologi bantu mudah aktivitas rumah alat elektronik teknologi jumpa guna alat elektronik manusia kontrol alat elektronik abai guna bantu kurang pakai alat proyek implementasi alat raspberry pi home automation raspberry pi server hubung rangkai relay rangkai kendali output parameter uji hasil implementasi alat parameter utama jaring lokal lan internet sumber hubung website parameter user gadget user operasi gadget buka website aplikasi browser gadget,hardware programming
219,ancang sistem home automation mini router bas openwrt,perangkatperangkat rumah milik peran bantu milik rumah aktivitas seharihari milik rumah efisiensi mudah nyaman aman mobilitas kendali perangkatperangkat rumah sistem kendali perangkat rumah sistem pusat kendali perangkat rumah integrasi milik akses kendali milik rumah tempattempat kendali home automation kontrol salah perangkat listrik rumah home automation milik rumah kendali perangkat rumah otomatis home automation integrasi perangkat rumah hubung jaring komputer kendali komputer pribadi akses remote jaring internet ancang sistem home automation manfaat mini router tplink mr bas linux openwrt kendali bas web user interface kendali perangkat rumah hasil teliti mini router server perangkat fungsionalitas home automation manfaat linux openwrt sistem operasi router aplikasi cgi bahasa pemrograman python alternatif jalur komunikasi pemrograman server,hardware programming
220,aplikasi wireless sensor esp smart home automation,teknologi iot tumbuh kembang pesat dunia teknologi smart city smart grid smart home automation mobil iot sistem smart home automation konsumsi pakai listrik suhukelembapan ruang tulis usul iot bas wireless sensor network bangun raspberry pi esp adc ads dht acs zmptb wireless sensor network baca otomatis arus tegang serta suhu lembap data arus baca sensor acs data tegang baca sensor transformator zmptb data analog konversi digital adc ads baca esp data suhu lembap baca dht langsung kirim esp datadata baca kirim server web esp protokol mqtt data diupdate terus webserver raspberry pi hasil akurasi ukur suhu sistem rancang ukur lembap akurasi ukur tegang tampil webserver arus,hardware programming
221,rancang bangun home automation bas ethernet shield arduino,home automation system sistem otomatisasi rumah rumah hemat guna energi listrik mengonoffkan alat lampu ac kipas angin tv pompa air motor pagar motor garasi motor gorden lainlain home automation teliti ethernet shield arduino buah lampu sensor dht kontrol temperatur kelembaban home automation lancar cepat respon ratarata detik tekan tombol saklar onoff tampil broswer rangkai home automation hasil uji sensor dht milik teliti ukur temperatur teliti baca kelembaban,hardware programming
222,home automation system raspberry pi,home automation salah maju teknologi komunikasi otomasi kontrol rumah metode perangkatperangkat elektronik rumah kontrol mengunakan sistem kendali jarak menyetuh perangkat elektronik rumah raspberry pi pemroses cipta sistem raspberry pi mini computer fungsifungsi dasar personal komputer ukur kartu kredit raspberry pi kontrol perangkatperangkat elektronik rumah manfaat fasilitas gpio general purpose input output perangkat elektronika control liput lampu kipas angin suhu ruang kamera intai ancang sistem liput ancang alat sistem kontrol arus mengunakan raspberry pi kontrol buah lampu kipas sensor suhu sensor motion buah adaptor kontak saklar manfaat relay chanel hubung saklar tahap implementasi ambung perangkat lunak perangkat keras hasil sistem control hubung web server media interface uji coba sistem bangun sistem bangun sistem kontrol perangkat elektronik rumah implementasi nyala mati lampu ecek suhu ruang nyala kipas monitoring rumah dengaan manfaat web server tanam raspberry pi media interface user web akses user mengunakan smartphone komputer sistem bangun bantu guna kontrol perangkat elektronik rumah mana guna hemat daya listrik,hardware programming
223,aplikasi sistem kendali home automation bas android,rumah otomatis home automation gambar produk fungsi mudah kerja rumah contoh sederhana nyala mati lampu barang barang butuh arus listrik rumah mudah otomatis buat alat rumah pintar bantu kerja rumah perangkat jual harga murah kembang teknologi komputer harga murah ukur tambah teknologi muncul ide perangkat rumah pintar harga murah milik fungsi raspberry pi mini komputer ukur server relay saklar otomatis kontrol gun listrik perangkat milik fungsi monitoring perangkat elektronik otomatisasi jadwal hidup mati lampu jam tanggal tentu atur lampu mana lampu nyala mati jarak perintah suara alat mudah monitoring lampu alat listrik rumah sistem kendali aplikasi perangkat smartphone android,hardware programming
224,buat sistem home automation basis internet things,ancang sistem home automation sistem kendali otomatis manual sistem kendali lampu led horizontal blind ac buat sistem smart home microcontroller raspberry pi model proses kirim data kontrol protokol internet sistem ubidots cloud ubidots cloud tugas simpan data panel kontrol kendali sistem smart home sistem kendali jarak kendali langsung kendali langsung tombol teknik kendali lampu pwm atur buka tutup blind motor stepper kontrol ac led infrared hasil proses otomatis manual jalan proses kontrol cloud ubidots hasil proses ambil data cloud ubidots butuh detik proses kirim data butuh detik,hardware programming
225,webserver embedded system aplikasi home automation,kendali rumah otomatis kenal home automation kembang mana sistem bantu awas rencana kendali alat perlu rumah tambah mampu telekomunikasi dukung sistem sistem integrasi telekomunikasi dukung sistem kendali mikrokontroler alat perangkat lunak software dukung cipta internet things iot sistem home automation internet things mana padu metode manajemen otomatis rumah cerdas jalan kendali hasil algoritma pemrosesan internal kontrol rumah kontrol suhu kontrol cahaya jadwal teknis dapat metode manajemen otomatis bantu metode kumpul data metode observasi eksperimental wawancara sistem dapat aplikasi sistem website internet html sinkronisasi server utama mikrokontroler arduino severino mana kenal webserver embedded sytem mikrokontroler kendali sensorsensor sensor pir passive infra red ada huni sensor suhu kelembaban ruang sensor gas bocor kendali lampu kendali dingin ruang kendali cahaya ruang jadwal internet sinkron rtc real time clock algoritma zeller congruence tanggal lapor email otomatis guna sistem,hardware programming
226,home automation bas gesture control motion processing unit,home automation kenal isyarat gera tangan mudah milik rumah kontrol alat elektronik rumah sandang disabilitas milik batas jalan teliti perangkat baca isyarat sarung tangan lengkap sensor akselerometer giroskop perangkat fleksibel aktivitas sama butuh perangkat wearable teliti kembang home automation system kenal isyarat gera tangan motion processing unit mpu perangkat bentuk jam tangan digital praktis sensor mpu deteksi isyarat gera tangan mana isyarat gera proses arduino nano definisi perintah kirim perangkat terima modul radio frekuensi uji perangkat kontrol alat elektronik rumah isyarat gera tangan sesuai spesifikasi nilai error jarak maksimum perangkat pancar direspon terima halang,hardware programming
227,ancang implementasi sistem home automation ruang rapat laboratorium elektronika universitas kristen tra,ancang sistem home automation terap ruang rapat laboratorium elektronika universitas kristen tra sistem madu cahaya alami blind cahaya buat lampu led kontrol ac sistem sistem bagi jenis kontrol manual otomatis sistem kontrol manual aplikasi mobile bas android panel kontrol sistem kontrol otomatis smart sensor umpan smart sensor tangkap informasi cahaya gera suhu lembap hasil proses otomatis jalan stabil dekat set point proses manual aplikasi mobile hasil kirim perintah arduino tingkat salah baca input milik tingkat salah kontrol ac antara remote ac universal,hardware programming
228,bangun sistem home automation arduino bas android lighting control,hemat energi gantung perilaku sadar manusia hasil giat konservasi energi tentu faktor manusia gantung teknologi alat contoh boros besar kantor bangun publik guna mesin sejuk udara ac lampu hidup porsi konsumsi listrik ac lampu relatif home automation lighting control sistem cahaya rancang sistem kontrol cahaya operasi tulang punggung sistem otomatisasi rumah rumah pintar bangun sistem home automation ligthing control mudah guna pakai lampu kendali sesuai lampu kendali dimonitoring jarak,hardware programming
229,prototipe kendali lampu jarak untukhome automationsystems bas arduino mega android application,kembang sistem informasi bas aplikasi dorong manusia manfaat sumber media telemkomunikasi android butuh utama alas praktis ekonomis unggul efisiensi singkat paksa guna alih teknologi konvensional teknologi bas aplikasismartphone alas kembang teknologi dukung penggunaansaving energy tari teknologismarthomeyang murah ramah lingkung mana guna mana makalah tulis saji manfaat aplikasi android padasmartphoneuntuk kendali lampu jarak manfaat arduino kendali utama manfaat jaring internet uji skala laboratorium aplikasi bentuk purwarupasmarthomesederhana variasi tegang daya konstan hasil uji variasi akurasi salah ukur daya,hardware programming
230,ancang user interface bas web home automation gateway bas iqrf trb,salah mudah minimal guna energi listrik mati alat listrik alat listrik bangun lampu kontrol lampu konvensional hidup mati saklar sisi maju teknologi perangkat komunikasi canggih bantu mudah hidup manusia contoh teknologi guna teknologi sensor teknologi wireless teknologi internet teknologi protokol beda beda protokol gateway hubung jembatan teliti aju ancang sistem kontrol lampu aplikasi bas web untuk guna end user acu teliti hasil prototype sistem gateway access point web aplikasi evaluasi uji guna usability testing dasar aspek usability hasil ukur tanggap minta ratarata detik proses mati detik hidup lampu hasil evaluasi aplikasi bas web nilai terima usability user angka nilai skala milik nilai ratarata web aplikasi milik nilai usability learnability efficiency memorability errors satisfaction kunci web aplikasi home automation gateway usability,hardware programming
231,kembang home automation system framework openhab sub system lighting presence monitoring,kontrol sistem cahaya rumah deteksi gera rumah koneksi jaring internet milik rumah pergi home automation system home automaiton system system kontrol rumah rumah otomatis milik rumah bangun home automation system konsep internet things arsitektur konsep milik rumah kontrol rumah batas jaringa lokal jaring internet konsep buat home automation system kembang system tambah node relay sensor koneksi microcontroller server pusat raspberry pi openhab framework home automation sesuai konsep internet things framewok openhab bangun home automation mudah aplikasi server aplikasi kontrol hasil teliti bangun home automation system milik rumah kontrol sistem cahaya rumah jaring lokal internet milik rumah notifikasi email gera rumah framework openhab jalan server home automation system kunci home automation internet things openhab arduino raspberry pi sensor pir passive infrared,hardware programming
232,implementasi protokol message queuing telemetry transport sistem home automation studi pt lskk bandung,tuju ancang sistem home automation protokol message queuing telemetry transportmqtt sistem bas android bantu karyawan pantau ruang kerja deteksi indikasi bakar sensor gas api rancang sistem home automation bas internet uji coba quality service protokol mqtt parameter uji delay packet loss throughput metode teliti milik tahap tahap kumpul data tahap bangun perangkat lunak model prototype hasil uji banding delay ratarata mqtt detik udp detik packet loss tinggi mqtt paket udp paket ratarata packet loss mqtt udp ratarata packet loss udp data uji paket cepat transfer tinggi protokol mqtt kbps udp kbps cepat transfer rendah protokol mqtt kbps udp kbps throughput ratarata mqtt udp delay uji sistem home automation internet lokal selisih delay lokal home automation internet,hardware programming
233,implementasi sistem home automation bas raspberry pi android,raspberry pi teknologi manfaat bantu perangkat lunak bahasa pemrograman bas open source manfaat kembang sistem home automation android platform perangkat mobile kembang aplikasi platform antarmuka guna teliti implementasi home automation bas raspberry pi bahasa python antarmuka guna platform android bahasa python kivy desain antarmuka guna arduino yun akses sensor aktuator modul python teliti flask framework web teliti sistem home automation kerja segi akurasi mode otomatis aktuator servo pintu aktuator lampu aktuator kipas aktuator alarm,hardware programming
234,home automation bas gsm kendali listrik jarak short message service,home automationatausmart homeadalah istilah definisi tinggal integrasi teknologi layan jaring rumah tingkat efisiensi daya tingkat kualitas hidup jurnal bahas solusi lalai banyak masyarakat indonesia listrik timbul korsleting arus listrik lalai biar listrik nyala tinggal rumah jangka denganhome automationyang tulis rancang guna mati listrik listrik nyala tinggal rumah kirim pesan sms fitur guna daftar nomor handphone atur pesan perintah program antarmuka guna sedia,hardware programming
235,rancang bangun aplikasi simulasi home automation platform android,kembang sistem operasi perangkat mobile lahir inovasi kreatifitas jalan butuh guna dar alat komunikasi pusat informasi salah inovasi bidang hidup seharihari guna home automation kontrol perangkat listrik rumah remote lokasi beda lengkap sensorsensor notifikasi mudah pantau aplikasi home automation komunikasi alamat ip milik mikrokontroller aplikasi kontrol manual jadwal notifikasi ubah kondisi perangkat kontrol baca sensorsensor hubung mikrokontroller hasil uji simulasi aplikasi home automation jalan kontrol alat listrik tampil notifikasi ubah kondisi perangkat listrik kontrol baca sensorsensor hubung mikrokontroller sesuai aplikasi perangkat aplikasi home automation terap rumah bangun,hardware programming
236,ancang prototype home automation arduino bas feedback system,kembang teknologi pesat layan masyarakat jalan hidup seharihari singkat mudah zaman canggih guna kunci manual nilai praktis zaman kembang kunci pintu otomatis kartu rfid mudah buka curi pintu otomatis mudah masyrakat aplikasi rumah nya nyaman aman rumah buat system home automation system rumah otomatis bantu mudah guna bentuk aman rumah mikrokontroler penting olah pemrosesan data sistem kerja contoh kembang mikrokontroler arduino uno perangkat milik board digital masuk keluar pin mana pin nya pakai output pwm inputnya analog rfid teknologi wireless chip chip nomer id nomer id ambil data simpan data jarak rfid sensor milik utama sensor rfid terima sensor rfid pancar home automation implementasi arduino feedback system guna uji sensor ultra sonic sensor ultra sonic feedback system sempurna hasil oleh uji guna sensor ultra sonic feedback system guna,hardware programming
237,prototype monitoring kontrol sistem home automation bas arduino labview,alat perangkatperangkat listrik kendali manual smart home perangkat milik sistem otomatisasi monitor kendali perangkat listrik jarak tugas rancang alat monitoring kontrol perangkatperangkat listrik mudah aman guna hasil uji alat tampil data sensor dht banding thermohygrometer error suhu kelembaban baca sensor mq bocor nilai output baca tegang output volt sensor infrared uji gera tangan sekitar sensor jarak cm led infrared nyala tanda sensor deteksi gera jarak cm led sensor nyala tanda gera sensor deteksi sensor ir sensor actuator doorlock kipas lampu tampil interface labview ditampilankan data logger formattxt indikasi alat,hardware programming
238,ancang alat ukur stres galvanic skin response sistem minimum microcontroller,timbul stres dampak turun performansi kerja ganggu jiwa ukur stres upaya cegah rugi akibat stres alat ukur stres sedia pasar milik biaya mahal sulit oleh salah rancang alat ukur stres kembang rancang dasar ukur galvanic skin response gsr alat milik sulit baca indeks analog teliti kembang indeks digital bas sistem minimum microcontroller acu kaidah fase ancang kembang produk dasar hasil eksperimen rancang alat ukur stres digital valid sensitif ukur tingkat stres rancang alat ukur stres digital banding alat ukur analog mudah baca hasil stres efisien,hardware programming
239,rancang bangun sistem fleksible ats automatic transfer switch dasar ubah arus instalasi listrik kapal bas microcontroller,automatic transfer switch ats piranti sistem listrik fungsi atur proses pindah sumber listrik sumber listrik utama sumber listrik cadang ganti sesuai perintah program piranti saklar change switch cos manual proses alih sumber listrik utama sumber listrik cadang proyek desain sistem ats proses alih pindah sumber listrik aman efektif sekuensial sesuai proses kerja kendali kontrol otomatis dasar besar pakai daya listrik kontrol proses kendali kondisi proses ats mana kontrol sumber listrik utama sumber listrik cadang terap mode penyaklaran kendali saklar daya cepat proses switching ats bas microcontroller selesai masa alih pindah sumber listrik aman efektif,hardware programming
