judul,abstrak,kategori
CONGESTION CONTROL PADA JARINGAN KOMPUTER BERBASIS MULTI PROTOCOL LABEL SWITCHING (MPLS),"Penelitian ini dilakukan untuk menguji metode congestion control dengan penerapan QoS-Policies pada jaringan Multi Protocol Label Switching (MPLS). Parameter QoS (Quality of Services) yang diuji dalam penelitian ini berupa delay, troughput, jitter dan packet loss. Nilai-nilai yang didapatkan dari paramater tersebut kemudian dibandingkan dengan standar dari Telecommunications and Internet Protocol Harmonization Over Networks (TIPHON) dengan tujuan untuk mengetahui kualitas layanan pengiriman data pada jaringan MPLS ketika terjadi network congestion di lintasanya. Setelah melakukan proses perancangan, pengujian dan analisa, hasil yang didapat menunjukkan peningkatan nilai-nilai parameter QoS. Nilai QoS untuk parameter delay mengalami penurunan sebesar 48.3%, nilai troughput mengalami peningkatan sebesar 87.44%, nilai jitter mengalami penurunan nilai sebesar 54.04% dan nilai packet loss mengalami penurunan sebesar 99.9%.",jaringan
PENERAPAN JARINGAN MULTIHOMING PADA JARINGAN KOMPUTER FAKULTAS HUKUM,"Border Gateway Protocol (BGP) merupakan salah satu protokol routing dinamis. Kemampuan untuk saling bertukar informasi tabel routing antar Autonomous System (AS) merupakan salah satu keunggulan dari BGP. Dalam menentukan jalur routingnya, BGP menggunakan kebijakan dari administrator jaringan. Implementasi BGP sebagai routing protokol pada jaringan multihoming akan mempermudah untuk mendapatkan tabel routing dari AS yang berbeda. Sistem jaringan multihoming merupakan sistem jaringan komputer yang memiliki lebih dari satu jalan keluar menuju internet. Jaringan multihoming tidak hanya tergantung pada performa satu jalan keluar saja melainkan memiliki jalan keluar alternatif lainnya. Jika salah satu jalan keluar tersebut mengalami masalah maka masih terdapat jalan keluar lainnya yang menjaga jaringan tersebut tetap berfungsi. Penelitian ini merancang dan mengimplementasikan jaringan multihoming pada jaringan komputer Fakultas Hukum Universitas Udayana dengan BGP sebagai routing protocolnya. Rancangan yang diimplementasikan berupa pembagian traffic yang menuju internet. Dari hasil penelitian terlihat bahwa traffic yang menuju jaringan Indonesia Internet Exchange (IIX) melewati ISP sebagai jalan keluarnya. Traffic menuju jaringan lokal UNUD melewati GDLN Udayana sebagai jalan keluarnya. Setelah sistem ini diimplementasikan jaringan komputer Fakultas Hukum Universitas Udayana tidak sepenuhnya tergantung dengan GDLN untuk menuju internet.",jaringan
PERANCANGAN JARINGAN KOMPUTER PADA RUMAH SAKIT SOEDARSONO DARMOSOEWITO DI BATAM,"Rumah Sakit Soedarsono Darmosoewito Batam secara keseluruhan sudah menggunakan jaringan internet tetapi rancangan jaringan komputer tersebut dibangun tanpa adanya simulasi terlebih dahulu, karena adanya kurang informasi atau pengetahuan dan juga sumber daya manusia. Oleh karena itu, komponen - komponen untuk membangun sebuah jaringan membutuhkan perancangan yang baik, serta harus adanya simulasi yang sudah di bangun terlebih dahulu, supaya memudahkan kita untuk penerapan secara prakteknya. Tujuan utama penelitian ini bermaksud untuk melakukan analisa jaringan yang ada di RS Soedarsono Darmosoewito Batam, membuat rancangan jaringan usulan berbasis VLAN di Rumah Sakit Soedarsono Darmosoewito Batam, juga membuat simulasi dan rancangan jaringan usulan menggunakan Cisco Packet Tracer. Hasil yang diperoleh dari penelitian ini yaitu infrastruktur jaringan menggunakan topologi STAR - BUS, untuk memudahkan mencari gangguan, dan memudahkan menambah/ mengurangi perangkat. Penerapan teknologi VLAN akan mempermudah peengelolaan jika terjadi perubahan-perubahan yang terjadi pada jaringan ini.",jaringan
Implementasi Jaringan Komputer Berbasis Internet pada SMP Negeri 21 Bengkulu Tengah,"Penelitian ini bertujuan dalam penelitian ini adalah untuk merancang dan membangun koneksi jaringan komputer pada SMP Negeri 21 Bengkulu Tengah. Penelitian ini menggunakan metode penelitian eksprimen. Pada penelitian ini dilakukan percobaan mengenai kinerja dari mikrotik yang berjalan pada sistem. Hasil eksperimen selanjutnya didokumentasikan untuk melakukan analisa sehingga dihasilkan rekomendasi yang tepat untuk pembuatan proxy server. Dari hasil analisa tersebut nantinya akan mendapatkan kesimpulan mengenai manfaat serta fungsi yang lebih detail lagi dari mikrotik serta server SMB dalam fungsi sharing data atau file. Hasil penelitian ini terlihat bahwa jaringan internet sudah berjalan sesuai dengan keinginan yang penulis harapkan dan bisa mengakses internet, client dari server ini juga bisa mengakses internet. Serta kirim file dengan menggunakan server SMB yang sudah ditentukan penulis, server SMB dapat digunakan untuk mengirimkan file-file yang diletakkan pada router mikrotik, sehingga file tersebut dapat diakses oleh client yang terhubung. Jadi dalam penelitian ini penulis hanya membangun jaringan LAN dengan menggunakan mikrotik dan sharing data dengan Server SMB saja",jaringan
PERANCANGAN JARINGAN KOMPUTER BERBASI LAN DI RUANG LAB SMA MUHAMMADIYAH 1 MUARA PADANG,Dalam perkembangan teknologi yang pesat di zaman era digital saat ini keperluan untuk mengakses suatu informasi ataupun bertukar informasi sangat penting hal itupun saat ini biasa disebut sebagai aktifitas internet. Tentunya dengan dapat mengakses internet akan dapat banyak keuntungan bahkan milyaran keuntungan. Ruang LAB komputer di SMA Muhammadiyah 1 Muara Padang belum mendukung adanya akses internet. Untuk itu penulis melakukan perancangan pembangunan jaringan di LAB Komputer SMA Muhammadiyah 1 Muara Padang agar dapat mengakses internet. Jenis jaringan yang sesuai untuk ruang LAB adalah jaringan LAN (Local Area Network).,jaringan
Analisis Network Security Komputer Tingkat Desa Menggunakan Metode Security Policy Development Life Cycle (SPDLC),"Dunia telekomunikasi semakin berkembang mulai pada tahapan Generasi (1G), Generasi2 (2G), Generasi3 (3G), sampai tahap generasi 4 (4G).  manfaat tekneologi ilmu  komputer  banyak memeberikan kemudahan-kemudahan atau fiture-fiture menarik dan canggih, agar di manfaatkan oleh masyarakat luas di Indonesia salah satunya, pengguna wifi pada pemerintahaan tingkat Desa. Adanya kendala yang menyebabkan menurunnya performa akses internet, maka dibutuhkan langkah-langkah menganalisa kendala, faktor utama yang menyebabkan, menurunya performa akses internet kantor Desa. Salah satu metode yang dapat dikembangkan adalah security policy development life cycle (SPDLC) dimana berkaitan dengan keamanan jaringan yang mikrotik. suatu faktor yang penting dalam dunia teknologi. Sasaran keamanan komputer antara lain adalah sebagai perlindungan informasi terhadap pencurian data-data yang dianggap penting oleh suatu lembaga.",jaringan
ANALISIS NETWORK SECURITY SNORT METODE INTRUSION DETECTION SYSTEM UNTUK OPTIMASI KEAMANAN JARINGAN KOMPUTER,"Perkembangan teknologi informasi, khususnya jaringan komputer memungkinkan terjadinya pertukaran informasi yang mudah, cepat dan semakin kompleks. Keamanan jaringan komputer harus diperhatikan guna menjaga validitas dan integritas data serta informasi yang berada dalam jaringan tersebut. Masalah yang dihadapi adalah adanya Log Bug yang didapatkan pada komputer server Dinas Lingkungan Hidup Kota Batam yang diindikasikan adanya serangan Denial of Service (DoS) pada komputer tersebut. Berdasarkan masalah diatas maka penulis mencoba membuat sebuah penelitian yang berjudul â€œAnalisis Network Security Snort menggunakan metodeÂ  Intrusion Detection System (IDS) untuk OptimasiÂ  Keamanan Jaringan Komputerâ€ dan diharapkan dapat mendeteksi serangan Denial of Service (DoS). Intrusion Detection System (IDS)Â  adalah sebuah tool, metode, sumber daya yang memberikan bantuan untuk melakukan identifikasi, memberikan laporan terhadap aktivitas jaringan komputer. Aplikasi yang digunakan untuk mendeteksi serangan menggunakan Snort. Snort dapat mendeteksi serangan DoS. Serangan DoS dilakukan dengan menggunakan aplikasi Loic.",jaringan
DEVELOPMENT MANAGEMET NETWORK SECURITY PADA PTPN 7 BETUNG,Keamanan jaringan adalah hal yang sangat penting seiring berkembangnya teknologi informasi. Salah satunya adalah PT Perkebunan Nusantara VII Betung yang biasa di sebut dengan PTPN 7 Betung yang merupakan perusahaan yang bergerak pada bidang Minyak Kelapa Sawit. Perusahaan ini telah menerapkan teknologi jaringan komputer namun teknologi jaringan komputer yang sudah ada pada PTPN 7 Betung masih belum maksimal dikarenakan belum adanya pembatasan akses dan filter paket pada masing-masing divisi kerja. Untuk menjaga kerahasiaan informasi dan data yang dimiliki perusahaan tersebut diperlukan sebuah sistem keamanan jaringan komputer. Salah satu sistem keamanan jaringan yang dapat digunakan adalah access list. Pada jaringan komputer PTPN 7 Betung terdapat sebuah Router Cisco yang tehubung dengan jaringan internet kantor pusat. Router cisco ini dapat dimanfaatkan fitur access list yang dimilikinya untuk meningkatkan keamanan jaringan. Access list dapat digunakan untuk menentukan pihak-pihak mana saja yang boleh dan pihak mana saja yang tidak boleh mengakses informasi atau perangkat jaringan yang ada pada jaringan komputer tersebut sehingga keamanan jaringan dapat ditingkatkan.,jaringan
sistem keamanan jaringan komputer menggunakan metode watchguard firebox,"Keamanan jaringan komputer sebagai bagian dari sistem informasi sangat penting untuk menjaga validitas dan integritas data dan memastikan ketersediaan layanan bagi pengguna, karena sistem jaringan komputer harus dilindungi dari segala macam serangan dan gangguan pada saat atau pemindaian oleh pihak yang tidak berwenang. Komputer yang terhubung ke jaringan, ada banyak ancaman keamanan yang lebih besar dari pada host atau komputer yang terputus di mana saja, sehingga dengan mengendalikan keamanan jaringan, risikonya bisa dikurangi, sehingga jaringan dirancang sebagai komunikasi data yang tinggi dengan Tujuan meningkatkan akses ke sistem komputer, sementara keamanan dirancang untuk mengontrol akses, sehingga penyediaan keamanan jaringan adalah tindakan penyeimbang antara akses terbuka dengan keamanan. Firewall adalah sarana untuk mengendalikan informasi apa yang diizinkan masuk dan keluar dari jaringan lokal dan umumnya host atau firewall komputer yang terhubung ke internet dan LAN lokal, dan akses LAN ke Internet hanya diizinkan melalui firewall, sehingga dengan bantuan firewall dapat mengontrol sistem keamanan jaringan komputer dari apa yang diterima dan dikirim oleh Internet dan LAN. Ada beberapa jenis dan metode dalam pengaturan firewall, melalui pemindaian kode firewall dibangun langsung ke dalam kernel, seperti bantuan ipfw adm ruang pengguna memungkinkan untuk mengubah jenis lalu lintas jaringan atau dengan merekam jenis lalu lintas jaringan, sehingga metode pengaturan firewall dapat menggunakan peralatan bantuan WatchGurad Firebox M400.",jaringan
Implementasi Virtual Private Network (VPN) Menggunakan Protokol PPTP Mikrotikrouter pada Yayasan Muhamadiyah Parung,"Pada era modern sekarang ini banyak perusahaan maupun instansi yang telah melakukan komputerisasi pada setiap rutinitas kantor, permasalahn yang sering terjadi pada jaringan komputer yang cukup luas cakupannya atau memiliki cabang menjadi sangat menggangu untuk aktivitas kantor, selama ini pada Yayasan MUhamadiyah Parung untuk proses mengrim file untuk internal kantor menggunakan flasdisk dan layanan gratis melalui email, dimana untuk penyimpanan datanya tidak tersimpan dengan baik dan juga tidak terstruktur dangan baik. PPTP (Point to Point Tunneling Protocol) merupakan jaringan komputer yang memungkinkan pengamanan transfer data dari remote client ke server pribadi instansi dengan membuat sebuah VPN melalui TCP/IP.",jaringan
PERANCANGAN DAN SIMULASI JARINGAN KOMPUTER POLITEKNIK NEGERI SUBANG MENGGUNAKAN PACKET TRACER VERSI 6.2 DENGAN METODE PPDIOO,"Jaringan komputer merupakan sistem kesatuan antara komputer-komputer dan perangkat jaringan yang terhubung antara satu dengan yang lainnya, bekerja sama untuk menciptakan suatu jaringan. Perangkat jaringan sangat fundamental untuk keberlangsungan hubungan atau komunikasi antar perangkat komputer. Jaringan komputer digunakan di instansi yang telah menerapakan sistem berbasis komputer dalam pengelolaannya. Perancangan jaringan komputer hendaknya memiliki memiliki kesesuaian dengan requirement dari instansi terkait. Bidang pendidikan merupakan instansi yang paling banyak menerapkan jaringan komputer salah satunya adalah Politeknik Negeri Subang (POLSUB). Untuk perancangan dan simulasi jaringan komputer POLSUB menggunakan metode PPDIOO yakni dengan menggunakan packet tracer versi 6.2. Pengumpulan data dilakukan dengan studi pustaka, observasi dan wawancara sehingga mengetahui kebutuhan yang diperlukan dalam membangun jaringan komputer POLSUB. Perancangan jaringan komputer yang dibangun di POLSUB akan dilakukan simulasi menggunakan cisco packet tracer sesuai dengan data yang didapatkan berdasarkan tahap pengumpulan data.",jaringan
METODE DEMILITARIZED ZONE DAN PORT KNOCKING UNTUK KEAMANAN JARINGAN KOMPUTER,"Saat ini cara komunikasi jaringan sudah banyak berubah. Seluruh aspek menjadi sangat bergantung pada layanan online. Karyawan dapat bekerja dari rumah, dan siswa dari segala usia mengambil kelas secara online. Semakin publik bergantung untuk tetap terhubung dengan jaringan, semakin besar potensi serangan jaringan yang terjadi. Dalam jaringan komputer jika tidak dilindungi akan menyebabkan kerugian berupa kehilangan data atau file, kerusakan system server, tidak maksimal dalam melayani user atau bahkan kehilangan aset berharga institusi. Serangan yang paling sering digunakan dalam jaringan adalah Port Scanning dan DDoS (Distributed Denial Of Service). Dalam penelitian ini menggabungkan metode DeMilitarized Zone dan Port Knocking untuk mengamankan jaringan komputer. Implemetasi teknik DeMilitarized Zone digunakan untuk mengakses server lokal agar bisa diakses dari luar dengan teknik Port Knocking. Hal ini untuk membuka port akses yang di filter pada konfigurasi router di sistem keamanan jaringan server. DeMilitarized Zone dan Port Knocking dapat diimplementasikan pada jaringan lokal maupun interlokal dimana jika suatu penyerang ingin mengexploit atau menyerang server utama maka yang pertama diserang adalah server firewall (router). Port Knocking juga dapat diimplementasikan pada jaringan lokal maupun interlokal dengan dipadukan time limit ping request yang menjadikan lebih aman, sehingga jika penyerang ingin mengakses router, dan tidak mengetahui aturan dari remote maka yang terjadi adalah penolakan terhadap akses port tersebut.",jaringan
ANALISIS WIRELESS LOCAL AREA NETWORK (WLAN) DAN PERANCANGAN MAC ADDRESS FILTERING MENGGUNAKAN MIKROTIK (STUDI KASUS PADA PT.GRAHA PRIMA SWARA JAKARTA),"PT. Graha Prima Swara menerapkan teknologi WLAN (Wireless Local Area Network) pada kantornya karena keunggulannya dalam hal portabilitas dan fleksibilitas untuk mendukung kinerja perusahaan. Di dalam jaringan komputer tersebut, ISP yang digunakan adalah Maxindo dengan bandwidth 7Mbps yang terhubung pada routerboard mikrotik 750 sebagai pusat kontrol jaringan. Access point digunakan sebagai base station jaringan WLAN dengan sistem keamanan yang digunakan adalah WPA2-PSK. Terdapat celah keamanan pada WPA2-PSK  yaitu selama masih berada dalam jangkauan sinyal wireless dan mengetahui passwordnya, maka orang lain yang tidak berhak dapat mengakses internet. Dengan menggunakan MAC Address filtering pada mikrotik, admin dapat membatasi user yang berhak terkoneksi dengan cara mendaftarkan MAC Address client. Sehingga jaringan WLAN pada PT.Graha Prima Swara dapat bekerja optimal, aman dan efisien.",jaringan
PERANCANGAN JARINGAN KOMPUTER DI PT. DIRGANTARA INDONESIA DENGAN TEKNIK VARIABLE LENGTH SUBNET MASK (VLSM) DAN VIRTUAL LOCAL AREA NETWORK (VLAN),"Terdapat kendala yang sedang dialami PT. Dirgantara Indonesia pada tahun 2014, yaitu mengalami fase peralihan dan regenerasi pegawai. Rancangan regenerasi topologi jaringan dan subnetting IP Address diperlukan dalam fase peralihan dan regenerasi Pegawai ini. Perancangan topologi dan subnetting jaringan komputer internal gedung fixed dan rotary wing menjadi kunci dari permasalahan yang ada dan harus dilakukan demi terciptanya suatu topologi dan subnetting  jaringan komputer internal yang tepat dan efisien. untuk mengefisiensikan alokasi IP Address digunakan teknik variable length subnet mask (VLSM). Untuk menghemat penggunaan perangkat keras jaringan computer yang relatif mahal, digunakan teknik Virtual Local Area Network (VLAN) untuk membedakan Subnet.",jaringan
PENGELOLAAN JARINGAN DENGAN ROUTER MIKROTIK UNTUK MENINGKATKAN EFEKTIFITAS PENGGUNAAN BANDWITH INTERNET (STUDI KASUS SMK KI HAJAR DEWANTORO KOTA TANGERANG),"Pemanfaatan teknologi informasi dan komunikasi dalam dunia pendidikan sudah tidak dapat dihindari. Penggunaan jaringan untuk mengkakses komputer secara remote dan menghubungkannya dengan internet semakin dibutuhkan guru dan siswa untuk mendapatkan informasi pembelejaran. Sistem jaringan yang digunakan tersebut harus bisa dikelola dengan baik terutama dalam pengaturan bandwith internet agar koneksi bisa setiap komputer mempunyai akses ke internet secara merata. SMK Ki Hajar Dewantoro Kota Tangerang dalam kegiatan belajar mengajarnya sudah memanfaatkan teknologi informasi dan komunikasi, khususnya telah memanfaatkan jaringan komputer sebagai media komunikasi data dan informasi. Sistem jaringan komputer pada SMK Ki Hajar Dewantoro Kota Tangerang belum dikelola dengan baik sehingga dapat digunakan sebagai studi kasus penelitian saat ini. Solusi untuk meningkatkan efektifitas penggunaan dan pengelolaan bandwith internet di SMK Ki Hajar Dewantoro dengan cara melakukan perancangan dan implementasi manajemen jaringan dengan Router Mikrotik untuk mempermudah administrator dalam memanajemen jaringan. Penelitian ini menggunakan metode Network Development Life Cycle (NDLC) sebagai metode pengembangan manajemen jaringan komputer pada SMK Ki Hajar Dewantoro Kota Tangerang. Hasil yang ditunjukkan pada penelitian ini adalah pengelolaaan sistem jaringan menggunakan router mikrotik dalam pengelolaan bandwith internet secara efesien.",jaringan
PENERAPAN OPEN VPN IPCOP SEBAGAI SOLUSI PERMASALAHAN JARINGAN PADA PT.KIMIA FARMA TRADING & DISTRIBUTION,"Jaringan komputer bukanlah hal yang baru saat ini. Jaringan komputer VPN-IP-MPLS juga sering terjadi adanya gangguan yang mengakibatkan menghambat jalannya kegiatan operasional pada perusahaan yang menggunakannya. PT. Kimia Farma Trading & Distribution (KFTD) juga sering mengalami hal yang sama, kendala mengenai kegiatan operasional pada perusahaan yang disebabkan oleh gangguan jaringan komputer VPN-IP-MPLS dari provider. Fasilitas dan pelayanan terhadap user dalam jaringan komputer diharapkan dapat diberikan secara maksimal sehingga tidak mengganggu dan menghambat kegiatan operasional, dan apabila terjadi maka user tidak perlu lagi menunggu sampai jaringan komputer VPN-IP-MPLS dari provider beroperasional dengan baik. Dengan jaringan komputer VPN yang dibuat menggunakan OpenVPN IPCop dapat membantu agar user/cabang tetap beroperasional dengan baik. Begitu juga berguna untuk prinsipal (perusahaan rekanan penyedia obat) yang bekerja sama dengan PT. Kimia Farma Trading & Distribution (KFTD) agar prinsipal (perusahaan rekanan penyedia obat) tersebut dapat mengakses ke aplikasi untuk mendapatkan informasi tentang stok barang dari prinsipal (perusahaan rekanan penyedia obat) tersebut, sehingga mempermudah prinsipal (perusahaan rekanan penyedia obat) tersebut dalam mendapatkan informasi.",jaringan
Penerapan Simple Queue Dalam Pengelolaan Bandwidth Local Area Network (Studi Kasus: PT Sumber Berkah Niaga),"Bandwidth merupakan bagian penting dalam jaringan komputer yang dipakai sebagai data transfer rate, yaitu jumlah data yang bisa dialirkan dari satu titik ke titik lain. Jaringan komputer yang terintegrasi dengan internet pada PT Sumber Berkah Niaga merupakan unsur penting dalam aktifitas produktif perusahaan. Penggunaan bandwidth internet tentunya sangat mempengaruhi kinerja pegawai dalam menggunakan jaringan komputer. Namun pengelolaan dari jaringan komputer pada PT Sumber Berkah Niaga khususnya pengelolaan bandwidth masih belum terintegrasi dengan baik. Tidak adanya pengaturan pembagian bandwidth terhadap client dalam jaringan mengakibatkan terhambatnya aktifitas perusahaan. Penelitian ini bertujuan untu menyelesaikan masalah tersebut dengan menerapkan pengelolaan bandwidth dengan membatasi penggunaan secara maksimal terhadap client dalam jaringan komputer PT Sumber Berkah Niaga dengan metode simple queue pada Mikrotik. Setelah penerapan simple queue dilakukan pengujian terhadap client dan menunjukkan bahwa pembatasan maksimal penggunaan bandwidth upload maupun download berhasil dibuktikan dengan tidak ada client yang melebihi batas bandwidth yang telah ditentukan.",jaringan
"UNJUK KERJA INTRUSION PREVENTION SISTEM (IPS) BERBASIS SURICATA PADA JARINGAN LOKAL AREA NETWORK LABORATORIUM TIA+ TEKNIK INFORMATIKA, UNIVERSITAS TRUNOJOYO","Keamanan sebuah system jaringan komputer merupakan suatu satu hal yang sangat penting. Perkembangan teknologi yang semakin cepat berdampak terhadap sistem keamanan jaringan, Dengan berbagai metode system keamanan jaringan dikembangkan yang salah satunya dengan metode attack (penyusupan/ serangan). Hal ini mengancam keamanan sebuah data. Untuk menjaga kerahasiaan, keaslian dan ketersediaan data tersebut, maka diperlukan sebuah sistem yang mampu mendeteksi adanya attacker pada system jaringan komputer yang dapat berjalan secara real time. Salah satu metodenya yakni Intrusion Prevention System (IPS). IPS adalah sebuah sistem yang mampu memonitor dan memblokir trafik jaringan komputer. System jaringan dimaksud diimpelemntasikan di Local Area Network (LAN) Laboratorium TIA+ Teknik Informatika. IPS yang dibangun berbasis Suricata yang berfungsi sebagai pendeteksi attacker. IPS ini dihubungkan dengan Internet Protocol (IP) Tables yang berfungsi sebagai pemonitor dan pemfilter attacker yang dilengkapi dengan tampilan Guide User Interface untuk memudahkan admin dalam memonitoring trafik jaringan. Hasilnya adalah Suricata akan mengeluarkan alert ketika terdeteksi adanya indikasi attacker pada trafik jaringan yang kemudian alert disimpan pada file log Suricata. Pada saat yang sama WebAdmin menampilkan dialog alert dan memerintahkan IPTables untuk memblokir alamat Internet Protokol (IP) yang teridentifikasi sebagai attacker, sehingga akses attacker terhadap server akan terputus. Berdasarkan implementasi sistem yang telah dilakukan sebanyak 100 kali, Suricata dan IPTables dapat bekerja secara optimal dan mampu mendeteksi attacker. Kata kunci: IPS (Intrusion Prevention System) Suricata, IPTables, Alert, Attacker",jaringan
Perancangan VLAN Pada Jaringan Komputer di Rumah Sakit Bethesda Yogyakarta,"Rumah Sakit Bethesda Yogyakarta adalah rumah sakit pertama yang ada di Yogyakarta. Padatnya pasien yang berobat di Rumah Sakit Bethesda menunjukan bahwa kinerja pelayanan rumah sakit bergerak terus selama 24 jam 7 hari. Salah satu bentuk pelayanan rumah sakit yang penting adalah jaringan komputernya. Sebagai pelayanan masyarakat, rumah sakit memerlukan jaringan komputer yang bekerja secara Ã¢ï¿½ï¿½non-stopÃ¢ï¿½ï¿½ selain itu kebutuhan manajemen jaringan yang baik sangat diperlukan bagi administrator jaringan. Tujuan penelitian ini adalah melakukan identifikasi masalah pada jaringan existing di Rumah Sakit Bethesda, dan memberikan usulan rancangan jaringan baru yang lebih baik dengan menggunakan teknologi Virtual LAN (VLAN). Dengan harapan bahwa jaringan tersebut dapat meningkatkan keamanan dan proses manajemen jaringan rumah sakit yang lebih baik dalam mendukung pelayanannya. Hasil yang didapat adalah membuat jaringan berbasis VLAN pada jaringan Rumah Sakit Bethesda dengan jaringan yang lebih aman dan mudah dalam proses manajemennya. Rancangan dari penelitian ini adalah menggunakan teknologi VLAN dan Router on a Stick dapat memberikan segmen-segmen jaringan yang memberikan manfaat dalam pembagian broadcast domain, dan memberikan kemudahan dalam manajemen dan pengembangan infrastruktur jaringan komputer Rumah Sakit Bethesda ke depannya.",jaringan
Sistem Manajemen Virtual Local Area Network (VLAN) Pada Cisco Catalyst 3750 Berbasis Web,"VLAN merupakan salah satu teknologi komputer yang saat ini sangat dibutuhkan. Hal ini dikarenakan VLAN dapat membagi satu jaringan pada perangkat switch menjadi bagian-bagian kecil jaringan lain. Cisco Catalyst 3750 merupakan perangkat switch yang sudah menyediakan teknologi VLAN. Permasalahan yang ditemukan pada Cisco Catalyst 3750 adalah sistem manajemen VLAN yang masih berbasis command line dan tidak dapat diakses dari jarak jauh. Untuk itu dibuat VLAN berbasis GUI dan dapat diakses dari jarak jauh. VLAN yang dibuat berbasis Web dengan tujuan untuk memberikan kebebasan pemakaian device dan tidak harus terfokus pada satu jenis device saja. VLAN berbasis Web ini dibuat dengan memanfaatkan API Cisco sebagai penghubung antara bahasa pemrograman pada VLAN berbasis Web dengan bahasa pada perangkat lunak Cisco Catalyst 3750. Pemanfaatan Telnet berperan penting dalam pembuatan VLAN berbasis Web ini, dimana Telnet memberikan akses lebih luas pada Cisco Catalyst 3750 untuk diakses di luar aplikasi terminal emulator. Dengan pemanfaatan Telnet administrator cukup mengujungi IP yang telah dibuat untuk mengakses Cisco Catalyst 3750. Akses jarak jauh pada VLAN berbasis Web ini menggunakan port fowarding. Serveo.net adalah salah satu penyedia layanan port fowarding. Dengan memanfaatkan Serveo.net, VLAN berbasis Web yang masih dalam server local dapat diakses dari jarak jauh meski tanpa IP publik. Hasil pengujian pada penelitian ini menunjukkan bahwa VLAN berbasis Web terbukti dapat melakukan konfigurasi VLAN sehingga dapat digunakan untuk mengatur hubungan antar komputer sesuai dengan kebutuhan pada jaringan yang digunakan.",jaringan
IMPLEMENTASI JARINGAN WIRELESS OUTDOOR MENGGUNAKAN NANOBRIDGE,"Merancang sebuah jaringan komputer dengan teknologi nirkabel berbasis Wireless Outdoor, Metode yang digunakan dalam penulisan ini meliputi dua bagian pokok yaitu metode analisis dan metode perancangan. Metode analisis digunakan untuk menganalisa sistem yang berjalan dan metode perancangan digunakan untuk membuat topologi jaringan usulan berbasis Wireless Outdoor yang bertujuan untuk metropolitan file sharing, metropolitan disaster recovery and backup files network, metropolitan network chating, dan metropolitan accunting database program. Menggunakan Implementasi Wireless Outdoor NanoBridge dengan frekuensi 5Ghz, memungkinkan koneksi stabil serta tidak mudah terinterfensi oleh jaringan luar. Hasil yang dicapai adalah sebuah jaringan metropolitan area network yang mempunyai mobilitas tinggi dan mampu menghemat bandwidth yang sering digunakan untuk transper file antar group usaha.",jaringan
IMPLEMENTASI SWITCH CORE UBIQUITI UNIFI PADA JARINGAN KOMPUTER DIVISI I PT. WASKITA KARYA (PERSERO)Tbk.,"Pada Jaringan Komputer DIVISI I PT. Waskita Karya (Persero)Tbk. Jaringan komputer merupakan sebuah sistem yang terdiri atas beberapa komputer yang didesain untuk dapat berbagi sumber daya, berkomunikasi, dan dapat mengakses informasi. Tujuan jaringan komputer sendiri agar dapat mencapai tujuannya, setiap bagian dari jaringan komputer dapat meminta dan memberikan layanan (service). Sedangkan Core Switch yaitu cara menyusun perangkat switch menjadi beberapa tingkatan dikarenakan user yang terkoneksi ke dalam jaringan memiliki jumlah yang banyak, sehingga perlu melakukan trunking (menyambungkan switch satu dengan switch lain) antar switch secara bertingkat. Pada Kantor DIVISI I PT. Waskita Karya (Persero)Tbk, jaringan komputer yang ada sudah cukup efektif sesuai dengan fungsinya, namun terdapat permasalahan yang disebabkan kurangnya tolls yang dimiliki oleh router lama terutama pada bagian pelaporan dan monitoring jaringan komputer sehingga membuat administrator kesulitan dalam melakukan monitoring serta dalam pembuatan laporan jaringan komputer. Unifi Contoller memiliki tolls yang dibutuhkan oleh jaringan komputer tersebut, untuk itu penulis mencoba membuat Skripsi mengenai Implementasi Switch Core Ubiquiti Unifi Pada Jaringan Komputer DIVISI I PT. Waskita Karya (Persero)Tbk.",jaringan
ANALISA JARINGAN KOMPUTER LOCAL AREA NETWORK (LAN) PADA KANTOR INDONESIA UNTUK KEMANUSIAAN JAKARTA,"Tugas Akhir ini membahas tentang analisa jaringan LAN pada kantor indones untuk kemanusiaan jakarta , yang menggunakan perangkat jaringan lan berupa perangkat keras maupun perangkat lunak. Jaringan komputer menjadi satu hal yang sangat penting dalam berbagai bidang, diantaranya : Instansi, lembaga,perusahaan sekolah, kampus. Berkenaan dengan pentinya kebutuhan akan jaringan komputer itu sendiri, maka di buatlah analisa jaringan LAN ini. Jaringan komputer ini sangatlah membantu dalam meningkakan beberapa kerja system jaringan dalam suatu instansi atau lembaga. Dari Analisa jaringan ini didapatkan kesimpulan bahwa pemanfaatan jaringan komputer ini sangatlah penting dalam suatu lembaga. Guna untuk meningkatkan kinerja pegawai dengan menggunakan sistem komputerisasi.",jaringan
